store_id,store_name,city,country,region,route_id,delivery_day,store_priority,floor_space_sqm,category_capacity_apparel_units,category_capacity_shoes_units,receiving_capacity_units_per_delivery,active_flag
STR001,Sport Store 1,City 1,PL,North,R01,Monday,0.91,874,2020,827,450,1
STR002,Sport Store 2,City 2,BE,South,R02,Tuesday,0.86,324,932,326,350,1
STR003,Sport Store 3,City 3,PL,East,R03,Wednesday,1.14,315,761,268,350,1
STR004,Sport Store 4,City 4,ES,West,R04,Thursday,1.17,938,2574,692,850,1
STR005,Sport Store 5,City 5,IT,Central,R05,Friday,0.96,226,668,161,700,1
STR006,Sport Store 6,City 6,BE,North,R06,Monday,0.89,440,1389,345,350,1
STR007,Sport Store 7,City 7,CZ,South,R07,Tuesday,1.06,572,1603,556,1000,1
STR008,Sport Store 8,City 8,IT,East,R08,Wednesday,1.08,607,1383,465,1000,1
STR009,Sport Store 9,City 9,FR,West,R09,Thursday,1.19,941,2135,860,550,1
STR010,Sport Store 10,City 10,NL,Central,R10,Friday,1.0,323,833,268,550,1
STR011,Sport Store 11,City 11,FR,North,R01,Monday,1.09,434,1245,403,1000,1
STR012,Sport Store 12,City 12,BE,South,R02,Tuesday,0.96,395,1079,295,700,1
STR013,Sport Store 13,City 13,DE,East,R03,Wednesday,0.94,875,2527,645,550,1
STR014,Sport Store 14,City 14,PL,West,R04,Thursday,1.22,252,757,204,350,1
STR015,Sport Store 15,City 15,CZ,Central,R05,Friday,1.01,800,2461,620,1000,1
STR016,Sport Store 16,City 16,ES,North,R06,Monday,1.15,878,2334,663,450,1
STR017,Sport Store 17,City 17,NL,South,R07,Tuesday,1.05,658,2038,532,450,1
STR018,Sport Store 18,City 18,NL,East,R08,Wednesday,1.17,313,925,311,450,1
STR019,Sport Store 19,City 19,CZ,West,R09,Thursday,1.06,652,1823,524,850,1
STR020,Sport Store 20,City 20,FR,Central,R10,Friday,1.12,786,2405,514,1000,1
STR021,Sport Store 21,City 21,FR,North,R01,Monday,0.97,769,2269,736,550,1
STR022,Sport Store 22,City 22,ES,South,R02,Tuesday,1.24,381,1011,393,1000,1
STR023,Sport Store 23,City 23,ES,East,R03,Wednesday,1.19,402,1088,278,1000,1
STR024,Sport Store 24,City 24,DE,West,R04,Thursday,1.09,739,2075,525,450,1
STR025,Sport Store 25,City 25,PL,Central,R05,Friday,0.87,720,1598,735,550,1
STR026,Sport Store 26,City 26,FR,North,R06,Monday,1.24,800,2517,547,700,1
STR027,Sport Store 27,City 27,NL,South,R07,Tuesday,0.96,765,2268,536,700,1
STR028,Sport Store 28,City 28,PL,East,R08,Wednesday,1.14,841,2206,617,850,1
STR029,Sport Store 29,City 29,CZ,West,R09,Thursday,0.9,628,2006,571,700,1
STR030,Sport Store 30,City 30,PL,Central,R10,Friday,1.09,450,1018,296,850,1
STR031,Sport Store 31,City 31,FR,North,R01,Monday,1.21,227,515,204,450,1
STR032,Sport Store 32,City 32,CZ,South,R02,Tuesday,0.94,558,1267,415,1000,1
STR033,Sport Store 33,City 33,CZ,East,R03,Wednesday,0.95,355,1037,356,850,1
STR034,Sport Store 34,City 34,BE,West,R04,Thursday,0.99,704,2117,511,350,1
STR035,Sport Store 35,City 35,FR,Central,R05,Friday,0.87,640,1706,602,1000,1
STR036,Sport Store 36,City 36,PL,North,R06,Monday,1.06,567,1701,393,450,1
STR037,Sport Store 37,City 37,FR,South,R07,Tuesday,1.03,363,951,276,450,1
STR038,Sport Store 38,City 38,DE,East,R08,Wednesday,1.24,783,1799,713,850,1
STR039,Sport Store 39,City 39,BE,West,R09,Thursday,1.21,462,1093,390,450,1
STR040,Sport Store 40,City 40,CZ,Central,R10,Friday,0.96,388,1000,405,550,1
STR041,Sport Store 41,City 41,CZ,North,R01,Monday,0.91,933,2945,977,850,1
STR042,Sport Store 42,City 42,DE,South,R02,Tuesday,1.15,523,1264,352,1000,1
