sku_id,style_id,style_color_size,category,subcategory,color,size,season,lifecycle_status,unit_cost,selling_price,gross_margin_pct,pack_multiple,min_presentation_qty,replenishable_flag
SKU000001,STY0001,STY0001-Grey-XS,Apparel,T-Shirt,Grey,XS,Core,Markdown,37.36,79.99,0.533,12,3,1
SKU000002,STY0001,STY0001-Grey-S,Apparel,T-Shirt,Grey,S,Core,Markdown,32.24,79.99,0.597,6,4,1
SKU000003,STY0001,STY0001-Grey-M,Apparel,T-Shirt,Grey,M,Core,Markdown,16.88,39.99,0.578,3,3,1
SKU000004,STY0001,STY0001-Grey-L,Apparel,T-Shirt,Grey,L,Core,Markdown,37.78,79.99,0.528,12,4,1
SKU000005,STY0001,STY0001-Grey-XL,Apparel,T-Shirt,Grey,XL,Core,Markdown,15.05,34.99,0.57,6,3,1
SKU000006,STY0001,STY0001-Green-XS,Apparel,T-Shirt,Green,XS,Core,Markdown,27.5,59.99,0.542,6,3,1
SKU000007,STY0001,STY0001-Green-S,Apparel,T-Shirt,Green,S,Core,Markdown,14.2,34.99,0.594,12,4,1
SKU000008,STY0001,STY0001-Green-M,Apparel,T-Shirt,Green,M,Core,Markdown,31.35,79.99,0.608,6,3,1
SKU000009,STY0001,STY0001-Green-L,Apparel,T-Shirt,Green,L,Core,Markdown,30.22,79.99,0.622,6,4,1
SKU000010,STY0001,STY0001-Green-XL,Apparel,T-Shirt,Green,XL,Core,Markdown,15.24,34.99,0.564,6,4,1
SKU000011,STY0002,STY0002-Grey-XS,Apparel,Track Pants,Grey,XS,SS26,Active,31.22,79.99,0.61,3,2,1
SKU000012,STY0002,STY0002-Grey-S,Apparel,Track Pants,Grey,S,SS26,Active,10.68,29.99,0.644,6,4,1
SKU000013,STY0002,STY0002-Grey-M,Apparel,Track Pants,Grey,M,SS26,Active,12.27,29.99,0.591,12,4,1
SKU000014,STY0002,STY0002-Grey-L,Apparel,Track Pants,Grey,L,SS26,Active,15.51,34.99,0.557,6,3,1
SKU000015,STY0002,STY0002-Grey-XL,Apparel,Track Pants,Grey,XL,SS26,Active,19.08,49.99,0.618,12,4,1
SKU000016,STY0002,STY0002-Black-XS,Apparel,Track Pants,Black,XS,SS26,Active,13.98,29.99,0.534,3,3,1
SKU000017,STY0002,STY0002-Black-S,Apparel,Track Pants,Black,S,SS26,Active,13.05,34.99,0.627,12,4,1
SKU000018,STY0002,STY0002-Black-M,Apparel,Track Pants,Black,M,SS26,Active,17.82,49.99,0.644,3,2,1
SKU000019,STY0002,STY0002-Black-L,Apparel,Track Pants,Black,L,SS26,Active,18.36,49.99,0.633,6,4,1
SKU000020,STY0002,STY0002-Black-XL,Apparel,Track Pants,Black,XL,SS26,Active,28.7,59.99,0.522,12,3,1
SKU000021,STY0003,STY0003-Blue-XS,Apparel,Jacket,Blue,XS,FW26,Active,15.63,34.99,0.553,6,3,1
SKU000022,STY0003,STY0003-Blue-S,Apparel,Jacket,Blue,S,FW26,Active,17.9,39.99,0.552,12,3,1
